"CostCenterCode","LocationCode","CDSCode","School","SchoolYear","NumberInCohort","NumberOfGraduates","CohortGradRate"
"1761401","7614","19647330129585","Nava College Preparatory Academy","2018-19",171.000000000,146.000000000,0.854000000
"1854501","8545","19647331930296","Harris Newmark Continuation High","2018-19",92.000000000,19.000000000,0.207000000
"1857701","8577","19647330124412","Sonia Sotomayor Arts & Science Academies","2018-19",104.000000000,92.000000000,0.885000000
"NA","NA","19647330000000","LAUSD","2018-19",34463.000000000,27238.000000000,0.790000000
"1885301","8853","19647330106997","Orthopaedic Hospital Senior High Medical Magnet","2018-19",182.000000000,179.000000000,0.984000000
"1871601","8716","19647330109447","Santee Education Complex","2018-19",455.000000000,357.000000000,0.785000000
"1877701","8777","19647330110668","Frida Kahlo Continuation High","2018-19",78.000000000,4.000000000,0.051000000
"1851701","8517","19647330112029","Miguel Contreras Learning Complex - Business and Tourism","2018-19",111.000000000,92.000000000,0.829000000
"1820601","8206","19647330117762","RFK Comm Schls - School for Visual Arts and Humanities","2018-19",116.000000000,88.000000000,0.759000000
"1877401","8774","19647330112870","Miguel Contreras Learning Complex - LA Sch of Global Studies","2018-19",81.000000000,55.000000000,0.679000000
"1874801","8748","19647330114850","West Adams Preparatory Senior High","2018-19",333.000000000,267.000000000,0.802000000
"1854401","8544","19647330117051","Edward R Roybal Learning Center","2018-19",251.000000000,208.000000000,0.829000000
"1820701","8207","19647330117721","Miguel Contreras Learning Complex - Acdemic Ldrshp Community","2018-19",114.000000000,71.000000000,0.623000000
"1850101","8501","19647330117747","RFK Comm Schls - Los Angeles High School of the Arts","2018-19",120.000000000,96.000000000,0.800000000
"1899101","8991","19647331996073","Tri-C Community Day School","2018-19",120.000000000,40.000000000,0.333000000
"1713701","7137","19647336019475","32nd Street USC Performing Arts Magnet","2018-19",73.000000000,73.000000000,1.000000000
"1813201","8132","19647336061451","Foshay Learning Center","2018-19",164.000000000,164.000000000,1.000000000
"1870101","8701","19647330107011","International Studies Learning Center","2018-19",91.000000000,79.000000000,0.868000000
"1888101","8881","19647330109454","South East Senior High","2018-19",400.000000000,359.000000000,0.898000000
"1888201","8882","19647330109462","Maywood Academy Senior High","2018-19",302.000000000,251.000000000,0.831000000
"1861101","8611","19647330119966","Felicitas And Gonzalo Mendez Senior High","2018-19",254.000000000,214.000000000,0.843000000
"1775101","7751","19647330122333","Roosevelt Senior High Science/Tech/Math Magnet","2018-19",104.000000000,102.000000000,0.981000000
